Q_0_1;1;0.0;0.0;0.001;1;679;-2.3750735908082903;2.624934074251466;5.890695606500816;0.0083426653243448
Q_0_2;1;0.0;0.0;0.001;5;1405;-2.352248500466866;2.647366109855642;5.881914762694996;-0.00043817848147487126
Q_0_3;1;0.0;0.0;0.001;13;3012;-2.351804768717583;2.647381906517143;5.880983201177641;-0.001369739998829722
Q_0_1;1;0.0;0.0;0.0001;1;911;-2.375179506471258;2.6248245366770204;5.890768252386793;0.008415311210321796
Q_0_2;1;0.0;0.0;0.0001;6;2140;-2.352858225036568;2.647067219134139;5.882264408636372;-8.853254009899558e-05
Q_0_3;1;0.0;0.0;0.0001;17;4935;-2.352881059234795;2.647025822665949;5.882191208612114;-0.0001617325643570311
Q_0_1;1;0.0;0.0;1e-05;1;1247;-2.374054695924915;2.6259457783503355;5.889932168864941;0.007579227688469636
Q_0_2;1;0.0;0.0;1e-05;8;3277;-2.3529409203059024;2.6470562236532027;5.882349407418533;-3.533757937823623e-06
Q_0_3;1;0.0;0.0;1e-05;22;7631;-2.3529244712436572;2.6470694324987534;5.882341893316437;-1.1047860033919221e-05
Q_0_1;1;0.0;0.0;1e-06;1;1378;-2.3751668250929767;2.624833216755287;5.890750675524963;0.008397734348491781
Q_0_2;1;0.0;0.0;1e-06;9;4411;-2.3529406942575566;2.647058693016567;5.882352232736831;-7.084396402845528e-07
Q_0_3;1;0.0;0.0;1e-06;26;10614;-2.3529417807437243;2.6470574899038946;5.882351646735723;-1.2944407483672649e-06
Q_0_1;1;0.0;0.0;1e-07;1;1609;-2.375166844220647;2.6248331607515794;5.890750616325562;0.008397675149090844
Q_0_2;1;0.0;0.0;1e-07;11;6057;-2.3529409951649543;2.6470589813031333;5.882352912846376;-2.833009471459036e-08
Q_0_3;1;0.0;0.0;1e-07;30;14195;-2.3529411831518727;2.647058730950702;5.8823527897664105;-1.5141006048935424e-07
