1;5.68E+00;4.25E+00;2.27E+02;[[4.0e+03 -4.0e+03]];-2.31E-03;['9.3e+00', '9.3e+00', '4.0e+04'];82;[[4.0e+03 -4.0e+03]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|;;;;;;;;;
2;9.16E-01;9.14E-01;7.60E-03;[[4.8e+00 3.3e+00]];-9.99E-01;['4.8e+00', '3.3e+00', '2.3e+02'];10;[[3.0e+02 -2.9e+02]];|[[5.0e-01 5.0e-01]
 [5.0e-01 5.0e-01]]|;;;;;;;;;
3;9.15E-01;9.15E-01;7.18E-03;[[4.3e-01 -4.0e-01]];-2.31E-03;['1.0e-03', '9.2e-04', '4.2e-04'];88;[[4.3e-01 -4.0e-01]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|;;;;;;;;;
