1;0.1636260843186541;-4.505464294349666;2054.817459673284;[[1.4e+06 -4.6e+04]];-1.0750776406556099e-05;['1.5e+01', '4.9e-01', '5.3e+06'];86.01097531412168;[[1.4e+06 -4.6e+04]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
2;0.3140899201729599;0.09884681666670048;0.47047641436185195;[[-2.9e+01 -9.0e+02]];-0.005139598374499662;['1.5e-01', '4.6e+00', '2.1e+03'];109.34093724599896;[[2.9e+02 -9.1e+02]];|[[1.1e-03 3.3e-02]
 [3.3e-02 1.0e+00]]|
3;0.32896183790365663;0.09843174228010239;0.4598651712096148;[[-1.4e+00 3.9e-02]];-0.01065174320142236;['1.5e-02', '4.2e-04', '1.1e-02'];161.74309324886005;[[-1.4e+00 3.9e-02]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
4;0.4530183018222176;0.18182888639780065;0.35392951364973524;[[-9.4e-01 -6.3e-01]];-0.132412676461887;['1.2e-01', '8.3e-02', '1.1e-01'];167.95812050975056;[[-5.5e-02 -2.0e+00]];|[[6.9e-01 4.6e-01]
 [4.6e-01 3.1e-01]]|
5;0.44418742550528245;0.19496452296965316;0.30947421711977796;[[3.1e+00 -4.7e+00]];-0.0028072163772820255;['8.8e-03', '1.3e-02', '4.4e-02'];79.78552032895759;[[3.1e+00 -4.7e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
6;0.5785898461124097;0.3175650617344275;0.2071744680488628;[[-6.1e-01 -5.6e-01]];-0.2193611858373802;['1.3e-01', '1.2e-01', '1.0e-01'];166.38988352481525;[[-7.0e-01 -4.7e-01]];|[[5.5e-01 5.0e-01]
 [5.0e-01 4.6e-01]]|
7;0.5717837285599743;0.32502580851363744;0.18373429985959328;[[3.1e+00 -3.4e+00]];-0.0021687399956280082;['6.8e-03', '7.5e-03', '2.3e-02'];77.2428635424216;[[3.1e+00 -3.4e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
8;0.6919253769783397;0.46479035088741805;0.11442711507935041;[[-3.7e-01 -4.3e-01]];-0.32734865900498744;['1.2e-01', '1.4e-01', '6.9e-02'];164.57299671496926;[[-4.2e-01 -3.8e-01]];|[[4.3e-01 4.9e-01]
 [4.9e-01 5.8e-01]]|
9;0.6863105721426862;0.4696163783335927;0.09859869100864366;[[3.3e+00 -2.8e+00]];-0.001727297830516391;['5.6e-03', '4.8e-03', '1.6e-02'];75.06202263184845;[[3.3e+00 -2.8e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
10;0.7917613556065771;0.6161488429506203;0.054892082154420735;[[-2.2e-01 -3.0e-01]];-0.4891805384458223;['1.1e-01', '1.5e-01', '4.4e-02'];163.63040276196324;[[-2.4e-01 -2.8e-01]];|[[3.4e-01 4.7e-01]
 [4.7e-01 6.6e-01]]|
11;0.7874931998781974;0.6192199791421045;0.045244806361222724;[[3.0e+00 -2.1e+00]];-0.00143020472998606;['4.3e-03', '3.1e-03', '9.6e-03'];73.91537112143263;[[3.0e+00 -2.1e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
12;0.8761425868214161;0.7600553818450432;0.021071831023572588;[[-1.2e-01 -1.9e-01]];-0.7313603284590634;['8.9e-02', '1.4e-01', '2.4e-02'];163.13022260730745;[[-1.3e-01 -1.9e-01]];|[[2.8e-01 4.5e-01]
 [4.5e-01 7.2e-01]]|
13;0.8731846999548526;0.7619168726361554;0.016110705131062098;[[2.4e+00 -1.5e+00]];-0.001229526380116531;['3.0e-03', '1.9e-03', '5.0e-03'];73.29054497469751;[[2.4e+00 -1.5e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
14;0.9420879660471633;0.8829773635238376;0.005426212984119622;[[-6.2e-02 -1.1e-01]];-1.10744402674004;['6.9e-02', '1.2e-01', '1.1e-02'];162.7919121292046;[[-6.7e-02 -1.1e-01]];|[[2.5e-01 4.3e-01]
 [4.3e-01 7.6e-01]]|
15;0.9403303718451638;0.8839773897451035;0.003566409268736549;[[1.6e+00 -9.1e-01]];-0.001098477908608759;['1.8e-03', '1.0e-03', '1.9e-03'];72.86946335497974;[[1.6e+00 -9.1e-01]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
16;0.9848028758322608;0.9679632194418594;0.000581947114663034;[[-2.6e-02 -4.9e-02]];-1.7040054506236189;['4.4e-02', '8.4e-02', '3.0e-03'];162.40821184067096;[[-2.7e-02 -4.9e-02]];|[[2.2e-01 4.1e-01]
 [4.1e-01 7.8e-01]]|
17;0.9840785093488839;0.9683464755842577;0.0002539039380095301;[[7.1e-01 -3.7e-01]];-0.0010231159944136515;['7.2e-04', '3.8e-04', '3.3e-04'];72.42127442396547;[[7.1e-01 -3.7e-01]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
