1;-0.015733055702764176;-4.4994857624722275;2025.7916831163654;[[1.4e+06 -4.6e+04]];-1.0880745154106347e-05;['1.5e+01', '5.0e-01', '5.3e+06'];88.29122800217247;[[1.4e+06 -4.6e+04]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
2;0.13188665525852258;0.017666447615406256;0.7536281971942747;[[-2.9e+01 -9.0e+02]];-0.005019184559343902;['1.5e-01', '4.5e+00', '2.0e+03'];99.50120351727948;[[-3.0e+01 -9.0e+02]];|[[1.1e-03 3.3e-02]
 [3.3e-02 1.0e+00]]|
3;0.18898288802525964;0.015889512742730965;0.6970518946376056;[[-1.8e+00 5.4e-02]];-0.03261534738194892;['5.7e-02', '1.8e-03', '5.7e-02'];173.4113561055229;[[-1.8e+00 5.4e-02]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
4;0.3115241652518532;0.06549769409914385;0.5735367732129595;[[-1.4e+00 -5.8e-01]];-0.08483942684767902;['1.2e-01', '5.0e-02', '1.2e-01'];169.8339539956794;[[-1.2e-01 -4.0e+00]];|[[8.7e-01 3.4e-01]
 [3.4e-01 1.4e-01]]|
5;0.3020293846835199;0.08895146265317279;0.4876783999513237;[[2.6e+00 -6.3e+00]];-0.003716972199088812;['9.5e-03', '2.3e-02', '8.6e-02'];84.37080488690019;[[2.6e+00 -6.3e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
6;0.4490061625140942;0.1812181327376911;0.34516289945137646;[[-1.0e+00 -6.3e-01]];-0.14567616158083968;['1.5e-01', '9.2e-02', '1.4e-01'];169.85981430442203;[[-1.1e+00 -4.5e-01]];|[[7.2e-01 4.5e-01]
 [4.5e-01 2.9e-01]]|
7;0.4417048587723193;0.19284872230648387;0.31220172368802296;[[2.6e+00 -4.1e+00]];-0.002852263391263981;['7.3e-03', '1.2e-02', '3.3e-02'];81.46686516000457;[[2.6e+00 -4.1e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
8;0.5749280581126963;0.31326306487423844;0.21054325568743462;[[-6.2e-01 -5.6e-01]];-0.2150318576425439;['1.3e-01', '1.2e-01', '1.0e-01'];166.47581299881148;[[-7.2e-01 -4.5e-01]];|[[5.5e-01 5.0e-01]
 [5.0e-01 4.5e-01]]|
9;0.5681025040851493;0.3208146202093398;0.18690633099854445;[[3.1e+00 -3.5e+00]];-0.002185163106518076;['6.8e-03', '7.6e-03', '2.4e-02'];77.34477404445342;[[3.1e+00 -3.5e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
10;0.6886511059737593;0.4601705032385146;0.11673418066615682;[[-3.7e-01 -4.3e-01]];-0.32322142391287934;['1.2e-01', '1.4e-01', '7.0e-02'];164.61280264674673;[[-4.3e-01 -3.9e-01]];|[[4.3e-01 4.9e-01]
 [4.9e-01 5.7e-01]]|
11;0.6829958948756778;0.46506244822689824;0.10069351090481865;[[3.3e+00 -2.8e+00]];-0.001738456690447551;['5.7e-03', '4.9e-03', '1.6e-02'];75.1124444201739;[[3.3e+00 -2.8e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
12;0.7889238494108448;0.6115654996899371;0.05629360167774597;[[-2.2e-01 -3.0e-01]];-0.48300208845634396;['1.1e-01', '1.5e-01', '4.4e-02'];163.65100169222077;[[-2.5e-01 -2.8e-01]];|[[3.4e-01 4.7e-01]
 [4.7e-01 6.6e-01]]|
13;0.7846149457943714;0.6146809802191567;0.04647901258224708;[[3.0e+00 -2.2e+00]];-0.0014376543650257523;['4.3e-03', '3.1e-03', '9.8e-03'];73.94394566525231;[[3.0e+00 -2.2e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
14;0.8738138178127094;0.7558846657126198;0.021799589333904575;[[-1.2e-01 -2.0e-01]];-0.7217024990018974;['8.9e-02', '1.4e-01', '2.5e-02'];163.14189314820857;[[-1.4e-01 -1.9e-01]];|[[2.9e-01 4.5e-01]
 [4.5e-01 7.2e-01]]|
15;0.8708168852829472;0.7577778023071404;0.016717897432099442;[[2.4e+00 -1.5e+00]];-0.0012347822107072037;['3.0e-03', '1.9e-03', '5.1e-03'];73.3097778666178;[[2.4e+00 -1.5e+00]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
16;0.940377087377926;0.8796677176316922;0.005709103609147725;[[-6.4e-02 -1.1e-01]];-1.0912185151804084;['7.0e-02', '1.2e-01', '1.1e-02'];162.8021132644488;[[-6.9e-02 -1.1e-01]];|[[2.5e-01 4.3e-01]
 [4.3e-01 7.5e-01]]|
17;0.9385848126872116;0.8806905005316891;0.0037781228266991597;[[1.6e+00 -9.3e-01]];-0.0011018283213114913;['1.8e-03', '1.0e-03', '1.9e-03'];72.88906343415661;[[1.6e+00 -9.3e-01]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
18;0.9838920799911759;0.9660967744118838;0.0006384878352631938;[[-2.7e-02 -5.1e-02]];-1.6749185645299982;['4.5e-02', '8.5e-02', '3.1e-03'];162.42269396282688;[[-2.9e-02 -5.0e-02]];|[[2.2e-01 4.1e-01]
 [4.1e-01 7.8e-01]]|
19;0.9831395922999511;0.9664959310381185;0.00028472933616382177;[[7.3e-01 -3.9e-01]];-0.0010251604983586454;['7.5e-04', '4.0e-04', '3.5e-04'];72.45457585731816;[[7.3e-01 -3.9e-01]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
20;0.9993551089254307;0.9984705264555827;6.18103507823808e-06;[[-6.9e-03 -1.4e-02]];-2.3494474464533743;['1.6e-02', '3.2e-02', '2.8e-04'];161.86590652264434;[[-7.1e-03 -1.3e-02]];|[[2.1e-01 4.0e-01]
 [4.0e-01 8.0e-01]]|
21;0.9992604518883247;0.998518500301272;5.478018995033322e-07;[[9.5e-02 -4.8e-02]];-0.000999216640277743;['9.5e-05', '4.8e-05', '5.6e-06'];71.855411806021;[[9.5e-02 -4.8e-02]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
22;1.0000000663301276;0.9999999073366552;5.081472357674905e-12;[[-2.8e-04 -5.7e-04]];-2.6074161736530055;['7.4e-04', '1.5e-03', '5.5e-07'];161.53133932119772;[[-2.6e-04 -5.8e-04]];|[[2.0e-01 4.0e-01]
 [4.0e-01 8.0e-01]]|
23;0.999999967087152;0.999999934030968;1.0853101166347516e-15;[[1.3e-04 -3.5e-05]];-0.0007612868989877793;['9.9e-08', '2.7e-08', '5.1e-12'];60.05505555221084;[[1.3e-04 -3.5e-05]];|[[1.0e+00 0.0e+00]
 [0.0e+00 1.0e+00]]|
